time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,rate_p,rate_q,rate_r,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
1333.164062,-3.957031,1.437500,-1.187500,0.000000,0.000000,-0.028780,0.120026,-0.203551,0.208251,-0.044189,0.142090,0.025879,0,-4500,4500,0
1333.173828,-3.957031,1.437500,-1.187500,0.009998,0.000000,-0.028275,0.119417,-0.202180,0.208748,-0.033447,0.138428,0.029053,0,-4500,4500,0
1333.183594,-3.957031,1.437500,-1.187500,0.009998,0.000000,-0.025848,0.119001,-0.200997,0.209197,-0.036133,0.127686,0.026367,0,-4500,4500,0
1333.193359,-3.957031,1.437500,-1.187500,0.009998,0.000000,-0.023308,0.118608,-0.199813,0.209671,-0.026611,0.108643,0.035400,0,-4500,4500,0
1333.203125,-3.957031,1.437500,-1.187500,0.009998,0.000000,-0.020718,0.118383,-0.198877,0.210262,-0.012207,0.094727,0.043945,0,-4500,4500,0
1333.212891,-3.957031,1.429688,-1.191406,-0.009998,-0.009998,-0.030287,0.118185,-0.198132,0.210606,0.002197,0.078857,0.046631,0,-4500,4500,0
1333.222656,-3.957031,1.429688,-1.191406,-0.009998,-0.009998,-0.027658,0.118047,-0.197572,0.211154,0.000977,0.062256,0.048828,0,-4500,4500,0
1333.232422,-3.957031,1.429688,-1.191406,-0.009998,-0.009998,-0.025316,0.118032,-0.197074,0.211702,0.006836,0.050049,0.051514,0,-4500,4500,0
1333.242188,-3.957031,1.429688,-1.191406,0.009998,0.000000,-0.030169,0.118087,-0.196701,0.212250,0.020020,0.043213,0.055176,0,-4500,4500,0
1333.251953,-3.957031,1.429688,-1.191406,0.009998,0.000000,-0.026810,0.118087,-0.196265,0.212762,0.021973,0.033691,0.048828,0,-4500,4500,0
1333.261719,-3.957031,1.429688,-1.191406,0.009998,0.000000,-0.024481,0.118149,-0.196078,0.213275,0.016357,0.022949,0.044434,0,-4500,4500,0
1333.271484,-3.957031,1.429688,-1.195312,0.000000,0.000000,-0.027191,0.118327,-0.196016,0.213640,0.020508,0.012939,0.043457,0,-4500,4500,0
1333.281372,-3.957031,1.429688,-1.195312,0.000000,0.000000,-0.024971,0.118450,-0.196016,0.213958,0.025879,-0.000244,0.034424,0,-4500,4500,0
1333.290039,-3.957031,1.429688,-1.195312,0.000000,0.000000,-0.023735,0.118519,-0.196078,0.214349,0.018311,-0.016113,0.031250,0,-4500,4500,0
1333.300781,-3.957031,1.429688,-1.195312,-0.009998,0.000000,-0.026094,0.118650,-0.196389,0.214558,0.006348,-0.023682,0.023682,0,-4500,4500,0
1333.310547,-3.957031,1.429688,-1.195312,-0.009998,0.000000,-0.026630,0.118658,-0.196638,0.214767,0.004883,-0.023682,0.022705,0,-4500,4500,0
1333.320312,-3.957031,1.429688,-1.195312,-0.009998,0.000000,-0.025415,0.118734,-0.196825,0.214962,0.000488,-0.015137,0.019531,0,-4500,4500,0
1333.330078,-3.957031,1.429688,-1.195312,-0.009998,0.000000,-0.024858,0.118603,-0.197012,0.215037,-0.017090,-0.009277,0.020020,0,-4500,4500,0
1333.339844,-3.957031,1.429688,-1.195312,0.000000,0.000000,-0.026079,0.118418,-0.197136,0.215219,-0.021240,-0.007812,0.025879,0,-4500,4500,0
1333.349609,-3.957031,1.429688,-1.195312,0.000000,0.000000,-0.026409,0.118178,-0.197261,0.215489,-0.017578,-0.008789,0.031738,0,-4500,4500,0
1333.359375,-3.957031,1.429688,-1.195312,0.000000,0.000000,-0.026377,0.117985,-0.197385,0.215745,-0.016602,-0.008789,0.035400,0,-4500,4500,0
1333.369141,-3.957031,1.429688,-1.199219,0.000000,0.000000,-0.027510,0.117683,-0.197510,0.216076,-0.024414,-0.012451,0.038086,0,-4500,4500,0
1333.378906,-3.957031,1.429688,-1.199219,0.000000,0.000000,-0.028046,0.117382,-0.197759,0.216420,-0.034180,-0.018799,0.037109,0,-4500,4500,0
1333.388672,-3.957031,1.429688,-1.199219,0.000000,0.000000,-0.029030,0.116996,-0.197945,0.216738,-0.030762,-0.011475,0.033936,0,-4500,4500,0
1333.398438,-3.957031,1.429688,-1.199219,0.000000,0.000000,-0.029984,0.116494,-0.198070,0.217116,-0.039307,-0.005127,0.029541,0,-4500,4500,0
1333.408203,-3.957031,1.429688,-1.199219,0.000000,0.000000,-0.030359,0.116061,-0.198132,0.217237,-0.044189,-0.000732,0.020508,0,-4500,4500,0
1333.417969,-3.957031,1.429688,-1.199219,0.000000,0.000000,-0.031271,0.115505,-0.198070,0.217386,-0.058594,0.014404,0.007324,0,-4500,4500,0
1333.427734,-3.957031,1.429688,-1.199219,0.000000,0.000000,-0.031921,0.114996,-0.197945,0.217433,-0.058594,0.018066,0.000000,0,-4500,4500,0
1333.436523,-3.957031,1.429688,-1.199219,0.000000,0.000000,-0.031948,0.114301,-0.197696,0.217359,-0.063965,0.026123,-0.003174,0,-4500,4500,0
1333.447266,-3.957031,1.429688,-1.199219,0.000000,0.000000,-0.032467,0.113675,-0.197447,0.217298,-0.068115,0.032471,-0.014893,0,-4500,4500,0
1333.457031,-3.957031,1.429688,-1.199219,0.000000,0.000000,-0.033085,0.113152,-0.197136,0.217197,-0.061279,0.031006,-0.018066,0,-4500,4500,0
1333.466797,-3.957031,1.429688,-1.199219,0.000000,0.000000,-0.035988,0.112712,-0.196701,0.217062,-0.043701,0.037842,-0.015869,0,-4500,4500,0
1333.476562,-3.957031,1.437500,-1.195312,0.000000,0.000000,-0.022440,0.112259,-0.196265,0.216840,-0.043213,0.049072,-0.019043,0,-4500,4500,0
